filename,width,height,mode,label
Chili__healthy/Cabai sehat110.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat113.jpg,307,164,RGB,Chili__healthy
Chili__healthy/Cabai sehat109.jpg,225,225,RGB,Chili__healthy
Chili__healthy/Cabai sehat115.jpg,295,171,RGB,Chili__healthy
Chili__leaf curl/download (5)a.jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/download (13).jpg,225,225,RGB,Chili__leaf curl
Chili__leaf curl/download (1).jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/download (4).jpg,277,182,RGB,Chili__leaf curl
Chili__leaf curl/download (6).jpg,259,194,RGB,Chili__leaf curl
Chili__leaf curl/download (11).jpg,260,194,RGB,Chili__leaf curl
Chili__leaf curl/download (10).jpg,275,183,RGB,Chili__leaf curl
Chili__leaf curl/download (12).jpg,200,252,RGB,Chili__leaf curl
Chili__leaf curl/download (16).jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/download (15).jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/download (8).jpg,301,167,RGB,Chili__leaf curl
Chili__leaf curl/download (2).jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/download (8)a.jpg,194,259,RGB,Chili__leaf curl
Chili__leaf curl/download (4)a.jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/download (14).jpg,194,259,RGB,Chili__leaf curl
Chili__leaf curl/download (19).jpg,194,259,RGB,Chili__leaf curl
Chili__leaf curl/download.jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/download (5).jpg,259,194,RGB,Chili__leaf curl
Chili__leaf curl/download (7).jpg,253,199,RGB,Chili__leaf curl
Chili__leaf curl/download (9).jpg,263,162,RGB,Chili__leaf curl
Chili__leaf curl/images (1)a.jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/download (18).jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/images (10)a.jpg,222,227,RGB,Chili__leaf curl
Chili__leaf curl/images (10).jpg,259,195,RGB,Chili__leaf curl
Chili__leaf curl/download (6)a.jpg,194,259,RGB,Chili__leaf curl
Chili__leaf curl/download (3).jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/download (17).jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/images (31).jpg,310,162,RGB,Chili__leaf curl
Chili__leaf curl/images (29)a.jpg,194,259,RGB,Chili__leaf curl
Chili__leaf curl/images (23)a.jpg,259,194,RGB,Chili__leaf curl
Chili__leaf curl/images (31)a.jpg,236,214,RGB,Chili__leaf curl
Chili__leaf curl/images (25).jpg,297,170,RGB,Chili__leaf curl
Chili__leaf curl/images (20)a.jpg,322,156,RGB,Chili__leaf curl
Chili__leaf curl/images (3).jpg,192,217,RGB,Chili__leaf curl
Chili__leaf curl/images (26).jpg,251,201,RGB,Chili__leaf curl
Chili__leaf curl/images (23).jpg,275,183,RGB,Chili__leaf curl
Chili__leaf curl/images (16)a.jpg,259,194,RGB,Chili__leaf curl
Chili__leaf curl/images (17)a.jpg,178,283,RGB,Chili__leaf curl
Chili__leaf curl/images (14).jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/images (32).jpg,195,259,RGB,Chili__leaf curl
Chili__leaf curl/images (27)a.jpg,259,194,RGB,Chili__leaf curl
Chili__leaf curl/images (24)a.jpg,301,167,RGB,Chili__leaf curl
Chili__leaf curl/images (15).jpg,150,150,RGB,Chili__leaf curl
Chili__leaf curl/images (30).jpg,194,259,RGB,Chili__leaf curl
Chili__leaf curl/images (18)a.jpg,289,174,RGB,Chili__leaf curl
Chili__leaf curl/images (28)a.jpg,216,233,RGB,Chili__leaf curl
Chili__leaf curl/images (35).jpg,225,137,RGB,Chili__leaf curl
Chili__leaf curl/images (33).jpg,216,233,RGB,Chili__leaf curl
Chili__leaf curl/images (3)a.jpg,300,168,RGB,Chili__leaf curl
Chili__leaf curl/images (19)a.jpg,284,177,RGB,Chili__leaf curl
Chili__leaf curl/images (17).jpg,220,134,RGB,Chili__leaf curl
Chili__leaf curl/images (24).jpg,250,202,RGB,Chili__leaf curl
Chili__leaf curl/images (21)a.jpg,259,195,RGB,Chili__leaf curl
Chili__leaf curl/images (29).jpg,300,168,RGB,Chili__leaf curl
Chili__leaf curl/images (18).jpg,275,183,RGB,Chili__leaf curl
Chili__leaf curl/images (12).jpg,257,196,RGB,Chili__leaf curl
Chili__leaf curl/images (22)a.jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/images (28).jpg,225,225,RGB,Chili__leaf curl
Chili__leaf curl/images (20).jpg,274,184,RGB,Chili__leaf curl
Chili__leaf curl/images (21).jpg,297,170,RGB,Chili__leaf curl
Chili__leaf curl/images (11).jpg,286,176,RGB,Chili__leaf curl
Chili__leaf curl/images (34).jpg,286,176,RGB,Chili__leaf curl
Chili__leaf curl/images (25)a.jpg,252,200,RGB,Chili__leaf curl
Chili__leaf curl/images (22).jpg,245,180,RGB,Chili__leaf curl
Chili__leaf curl/images (13).jpg,271,186,RGB,Chili__leaf curl
Chili__leaf curl/images (19).jpg,289,175,RGB,Chili__leaf curl
Chili__leaf curl/images (16).jpg,272,185,RGB,Chili__leaf curl
Chili__leaf curl/images (2)a.jpg,275,183,RGB,Chili__leaf curl
Chili__leaf curl/images (15)a.jpg,229,220,RGB,Chili__leaf curl
Chili__leaf curl/images (27).jpg,259,194,RGB,Chili__leaf curl
Chili__leaf curl/images (36).jpg,259,194,RGB,Chili__leaf curl
Chili__leaf curl/images (38).jpg,168,299,RGB,Chili__leaf curl
Chili__leaf curl/images (45).jpg,242,208,RGB,Chili__leaf curl
Chili__leaf curl/images (8).jpg,310,162,RGB,Chili__leaf curl
Chili__leaf curl/images (43).jpg,195,259,RGB,Chili__leaf curl
Chili__leaf curl/images (48).jpg,259,194,RGB,Chili__leaf curl
Chili__leaf curl/images (52).jpg,259,194,RGB,Chili__leaf curl
Chili__leaf curl/images (50).jpg,213,213,RGB,Chili__leaf curl
Chili__leaf curl/images (37).jpg,259,194,RGB,Chili__leaf curl
Chili__leaf curl/images (9).jpg,310,163,RGB,Chili__leaf curl
Chili__leaf curl/images (40).jpg,225,225,RGB,Chili__leaf curl
Chili__leaf curl/images (44).jpg,194,259,RGB,Chili__leaf curl
Chili__leaf curl/images (51).jpg,200,150,RGB,Chili__leaf curl
Chili__leaf curl/images (7)a.jpg,268,188,RGB,Chili__leaf curl
Chili__leaf curl/images (5).jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/images (7).jpg,264,191,RGB,Chili__leaf curl
Chili__leaf curl/images (47).jpg,275,183,RGB,Chili__leaf curl
Chili__leaf curl/images (4)a.jpg,259,195,RGB,Chili__leaf curl
Chili__leaf curl/images (4).jpg,261,193,RGB,Chili__leaf curl
Chili__leaf curl/imagesa.jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/images.jpg,310,162,RGB,Chili__leaf curl
Chili__leaf curl/images (5)a.jpg,100,100,RGB,Chili__leaf curl
Chili__leaf curl/images (41).jpg,194,259,RGB,Chili__leaf curl
Chili__leaf curl/images (49).jpg,194,259,RGB,Chili__leaf curl
Chili__leaf curl/images (6).jpg,189,267,RGB,Chili__leaf curl
Chili__leaf curl/images (46).jpg,217,232,RGB,Chili__leaf curl
Chili__leaf curl/images (8)a.jpg,332,152,RGB,Chili__leaf curl
Chili__leaf curl/images (39).jpg,225,225,RGB,Chili__leaf curl
Chili__leaf curl/images (6)a.jpg,275,183,RGB,Chili__leaf curl
Chili__leaf curl/images (42).jpg,261,193,RGB,Chili__leaf curl
Chili__leaf spot/leaf spot05 (1).jpg,290,174,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot07.jpg,100,100,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot02.jpg,100,100,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot02 (1).jpg,100,100,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot09 (1).jpg,260,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot08.jpg,273,185,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot05.jpg,100,100,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot03.jpg,100,100,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot07 (1).jpg,200,149,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot10 (1).jpg,290,123,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot03 (1).jpg,259,195,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot01 (1).jpg,100,100,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot04 (1).jpg,204,247,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot01.jpg,100,100,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot04.jpg,100,100,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot31.jpg,194,259,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot29 (1).jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot11.jpg,300,168,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot13.jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot22 (1).jpg,259,195,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot28.jpg,288,175,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot34.jpg,275,183,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot23 (1).jpg,225,225,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot20 (1).jpg,194,260,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot17.jpg,214,235,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot22.jpg,194,259,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot11 (1).jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot18 (1).jpg,278,181,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot10.jpg,275,183,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot23.jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot25.jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot25 (1).jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot18.jpg,256,197,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot21.jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot15.jpg,291,173,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot33.jpg,270,187,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot16.jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot12.jpg,275,183,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot16 (1).jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot14 (1).jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot24 (1).jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot15 (1).jpg,310,163,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot13 (1).jpg,258,195,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot32.jpg,100,100,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot19 (1).jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot30 (1).jpg,191,264,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot17 (1).jpg,246,205,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot20.jpg,100,100,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot35.jpg,284,178,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot26.jpg,278,181,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot21 (1).jpg,194,259,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot27 (1).jpg,260,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot19.jpg,263,192,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot24.jpg,275,183,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot28 (1).jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot14.jpg,224,225,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot39.jpg,259,194,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot38.jpg,223,166,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot77.jpg,229,220,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot57.jpg,300,168,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot71.jpg,216,233,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot42.jpg,241,209,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot48.jpg,266,190,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot76.jpg,169,298,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot55.jpg,225,225,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot79.jpg,147,176,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot46.jpg,244,207,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot60.jpg,365,138,RGB,Chili__leaf spot
Chili__leaf spot/leaf spot50.jpg,225,225,RGB,Chili__leaf spot
